;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968
B1 Hengityselinten tuberkuloosi;8.4;5.8;4.5;4.8;4.6;4.1;4.6;3.5;2.8;2.3;2.1;1.7;1.6;1.4;1.3;0.9;0.8;0.8
B2 Muut tuberkuloosimuodot;0.2;0.3;0.1;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.0;0.2;0.1;0.1;0.0;0.1
B3 Kuppa ja sen jälkitilat;0.7;0.6;0.5;0.3;0.4;0.3;0.8;0.6;0.4;0.3;0.5;0.3;0.3;0.3;0.3;0.2;0.2;0.1
B4 Lavantauti;. ;0.0;.;.;0.0;.;0.0;.;.;.;.;.;.;.;.;.;.;.
B7 Tulirokko, streptokokkiangina;0.1;0.0;0.1;0.0;.;.;0.0;0.0;.;.;.;.;.;.;.;.;.;.
B9 Hinkuyskä;0.1;.;.;.;.;.;0.0;.;.;.;.;.;.;.;.;.;.;.
B10 Tarttuva aivokalvontulehdus (meningokokkien aiheuttama);0.0;0.0;.;0.0;0.0;.;0.0;.;.;0.0;.;0.0;.;.;0.1;.;0.1;0.1
B12 Äkillinen tarttuva lapsihalvaus;. ;.;0.0;.;0.0;.;0.0;0.0;0.0;0.0;.;.;.;0.0;.;.;.;.
B14 Tuhkarokko;0.1;0.1;.;.;.;0.0;.;.;.;0.0;0.0;.;.;.;.;.;.;.
B17 Muut tartunta- ja loistaudit;0.6;0.3;0.5;0.5;0.7;0.5;0.8;0.4;0.3;0.3;0.3;0.2;0.3;0.2;0.2;0.1;0.3;0.1
B18 Pahanlaatuiset kasvaimet sekä imusuoni- ja vertamuodostavien elinten kasvaimet;17.5;18.9;17.8;18.0;17.8;18.2;18.2;18.2;18.2;18.5;19.1;19.0;18.9;19.0;17.6;19.2;19.4;19.6
B19 Hyvänlaatuiset ja tarkemmin määrittelemättömät kasvaimet;0.3;0.2;0.4;0.3;0.1;0.3;0.3;0.4;0.2;0.3;0.2;0.3;0.3;0.4;0.4;0.3;0.4;0.3
B20 Sokeritauti;0.5;0.6;1.0;0.5;0.4;0.6;0.9;1.0;1.0;1.2;0.9;1.0;1.1;1.2;1.1;1.1;1.1;0.9
B21 Vähäverisyydet;0.2;0.2;0.1;0.1;0.1;0.3;0.2;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.2;0.1;0.2;0.1
B22 Keskushermoston verisuoniston sairaudet;12.8;11.8;12.2;11.0;11.0;13.4;12.5;12.0;9.0;10.0;10.5;11.2;12.3;11.9;10.9;11.8;12.3;12.0
B23 Aivokalvontulehdus (paitsi meningokokkinen tai tuberkuloottinen;0.1;0.1;0.2;0.1;0.1;0.2;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.1
B24 Reumaattinen kuume;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.1;.;.;.;0.0;0.0;.;0.0;0.0;.;.
B25 Krooniset reumaattiset sydäntaudit;0.4;0.6;0.7;0.8;0.9;1.1;0.9;1.2;1.0;0.9;1.2;1.1;0.9;1.0;0.9;0.8;1.1;0.8
B26 Verisuonten kovettumisen ja rappeutumisen aiheuttamat sydäntaudit;18.4;18.9;18.3;20.3;22.4;21.4;22.8;23.1;23.3;24.7;25.5;28.3;26.9;28.9;31.0;30.8;30.9;29.9
B27 Muut sydäntaudit;6.2;3.9;2.3;2.2;2.6;1.8;1.3;1.0;1.2;1.4;1.5;1.0;1.7;1.8;2.0;1.8;1.5;1.7
B28 Verenpainetauti sydänoirein;0.8;2.4;3.7;3.3;3.1;1.6;1.7;2.1;3.1;2.6;2.8;2.8;1.7;1.3;1.0;1.2;0.8;0.7
B29 Verenpainetauti ilman sydänoireita;0.9;1.1;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.3;0.3;0.2;0.3;0.3;0.2;0.2;0.1
B30Influenssa;0.3;0.1;0.8;.;0.2;0.1;1.5;0.3;0.1;0.3;0.2;0.4;0.0;.;0.7;0.0;0.0;0.1
B31 Keuhkokuume;5.5;5.6;5.6;4.7;5.0;3.1;3.1;2.5;2.3;3.4;3.5;3.0;1.5;1.6;2.7;2.0;2.7;2.8
B32 Keuhkoputkentulehdus;0.3;0.2;0.3;0.1;0.2;0.2;0.2;0.2;0.2;0.4;0.6;0.7;0.6;0.9;1.0;0.7;0.9;1.0
B33 Mahahaava, pohjukaissuolihaava;0.6;0.5;0.4;0.4;0.8;0.6;0.5;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.7;0.6;0.5;0.5
B34 Umpilisäkkeentulehdus;0.2;0.3;0.2;0.2;0.1;0.2;0.2;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.3;0.1;0.1
B35 Suolentukkeuma ja tyrä;0.5;0.4;0.4;0.3;0.4;0.7;0.8;0.7;0.6;0.7;0.8;0.8;0.7;0.5;0.7;0.6;0.7;1.0
B36 Mahakatarri ja suolitulehdukset;0.4;0.3;0.3;0.2;0.3;0.2;0.2;0.3;0.2;0.3;0.3;0.3;0.4;0.5;0.4;0.2;0.4;0.3
B37 Maksakovettuma;0.7;0.8;0.4;0.8;0.7;0.6;0.6;0.6;0.6;0.5;0.8;0.9;0.8;0.8;0.7;0.6;0.8;0.6
B38 Nefriitti ja nefroosi;1.2;1.4;1.1;1.4;1.4;1.3;1.4;1.5;0.9;1.4;1.0;1.4;1.2;0.6;0.9;0.8;0.7;0.6
B39 Suurentunut eturauhanen;0.3;0.3;0.3;0.4;0.3;0.4;0.4;0.3;0.4;0.4;0.3;0.3;0.2;0.3;0.4;0.2;0.2;0.1
B40 Raskauden, synnytyksen ja lapsivuodeajan lisätaudit;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.0;0.1;0.0;0.0;0.1;0.0;0.1
B41 Synnynnäiset epämuodostumat;0.5;0.5;0.8;0.5;0.4;1.0;0.9;1.2;0.6;0.6;1.0;1.1;1.1;0.9;1.0;0.6;0.8;0.7
B42 Syntymävammat, syntymän jälkeinen valekuolema ja keuhkojen ilmattomuus;0.7;0.7;0.7;0.8;1.2;0.8;1.2;1.0;0.9;0.9;1.5;1.7;1.8;1.5;1.5;1.3;1.0;1.2
B43 Vastasyntyneen tartuntataudit;0.5;0.3;0.4;0.3;0.2;0.2;0.0;0.1;0.1;0.1;0.2;0.1;0.1;0.0;0.1;0.1;0.1;0.2
B44 Muut vastasyntyneen ja varhaislapsuuden taudit;1.5;1.5;1.3;0.9;0.9;0.7;0.9;0.7;0.6;0.6;0.5;0.6;0.6;0.4;0.7;0.5;0.4;0.4
B45 Vanhuus ja epätarkasti määritellyt sairaustilat;3.7;2.1;1.4;0.9;1.1;1.0;0.8;0.7;0.8;0.8;0.3;0.2;0.3;0.3;0.2;0.3;0.2;0.3
B46 Muut taudit;8.4;8.4;7.9;7.5;8.5;8.7;9.4;9.7;9.4;9.4;10.4;11.4;11.8;10.6;10.7;10.4;9.8;10.3
