;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985
3 Puna- ja ameebatauti;.;.;.;.;.;.;0.0;.;.;.;.;.;.;.;.;.;.
B4 Suolitulehdus ja muut ripulitaudit;0.1;0.2;0.1;0.1;0.1;0.0;0.2;0.1;0.2;0.0;0.1;.;0.1;0.0;0.0;0.1;0.0
B5 Hengityselinten tuberkuloosi;0.5;0.6;0.6;0.3;0.4;0.4;0.4;0.4;0.3;0.4;0.4;0.4;0.4;0.2;0.4;0.2;0.1
B6 Muut tuberkuloosimuodot, jälkitilat mukaan luettuna;0.3;0.2;0.4;0.3;0.5;0.3;0.3;0.4;0.4;0.2;0.2;0.3;0.2;0.2;0.2;0.3;0.2
B11 Tarttuva aivokalvontulehdus (meningokokkien aiheuttama);0.0;.;0.0;.;0.1;0.1;0.1;0.1;0.0;.;0.0;.;.;0.0;0.0;.;0.0
B14 Tuhkarokko;.;0.0;0.0;.;.;0.0;.;.;.;.;.;.;.;.;.;.;.
16 Malaria;.;.;.;.;.;.;.;.;0.0;.;.;.;.;0.0;.;.;.
B17 Kuppa ja sen jälkitilat;0.0;0.1;0.2;0.0;0.1;0.0;.;0.0;0.1;0.0;0.1;0.1;0.0;0.0;.;.;0.0
B18 Muut tartunta- ja loistaudit;0.1;0.3;0.2;0.3;0.4;0.1;0.3;0.2;0.2;0.3;0.3;0.3;0.4;0.1;0.4;0.2;0.4
B19 Pahanlaatuiset kasvaimet sekä imusuoni- ja vertamuodostavien elinten kasvaimet;18.9;19.9;19.6;18.5;20.0;19.9;21.4;21.8;22.6;22.5;22.4;22.1;23.3;22.6;22.9;24.2;22.0
B20 Hyvänlaatuiset ja tarkemmin määrittelemättömät kasvaimet;0.3;0.2;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2;0.1;0.2;0.2;0.2;0.3;0.4
B21 Sokeritauti;0.9;1.1;1.1;0.9;1.4;1.3;1.7;1.5;1.4;1.1;0.9;0.9;0.8;0.9;0.9;1.0;1.0
B22 Vitamiini- ja muut puutostaudit;0.0;0.0;.;.;0.0;0.1;.;0.0;0.0;0.1;.;0.0;0.0;.;0.0;0.0;.
B23 Vähäverisyydet;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.0
B24 Aivokalvontulehdus;0.2;0.2;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.1;0.1;0.1;0.1
B25 Äkillinen kuumereuma;.;0.0;0.0;0.0;0.0;.;0.0;.;.;.;0.0;0.0;.;.;.;.;.
B26 Krooniset reumaattiset sydäntaudit;1.3;0.9;1.4;1.1;1.1;0.5;0.7;0.9;1.1;1.1;1.1;0.9;1.3;0.7;0.9;0.9;0.9
B27 Verenpainetaudit;1.0;0.9;0.7;0.8;0.8;0.8;0.8;0.7;0.9;1.0;0.5;0.8;0.7;0.8;0.6;0.6;0.6
B28 Verensalpaus-sydäntaudit;27.6;26.0;27.7;26.3;27.6;28.1;28.7;31.8;29.7;32.0;32.3;31.3;31.9;30.8;31.4;31.9;32.2
B29 Muut sydäntaudit;2.9;3.4;3.2;2.3;3.0;3.7;3.2;3.9;3.6;3.5;4.2;3.3;3.6;3.0;3.4;3.5;4.1
B30 Aivoverisuonien taudit;13.0;12.1;12.4;12.9;11.5;12.3;12.4;13.4;13.2;13.6;13.7;13.8;14.5;13.8;15.0;13.6;15.1
B31 Influenssa;0.6;0.3;1.2;0.1;0.1;0.1;0.3;1.1;0.2;0.4;.;0.7;0.0;0.0;0.1;0.0;0.0
B32 Keuhkokuume;3.3;3.5;4.0;3.7;3.1;3.6;4.2;4.0;4.7;4.3;3.6;4.6;5.3;3.4;3.9;3.6;5.2
B33 Keuhkoputkentulehdus, keuhkolaajentuma ja astma;1.8;1.9;1.7;1.7;1.7;1.7;2.0;1.8;1.9;2.0;1.7;1.9;2.1;1.9;2.3;1.8;2.1
B34 Mahahaava, pohjukaissuolihaava;0.3;0.8;0.6;0.8;0.6;0.6;0.6;0.7;0.6;0.5;0.5;0.5;0.4;0.7;0.6;0.6;0.5
B35 Umpilisäkkeentulehdus;0.1;0.1;0.1;0.1;0.2;0.0;0.0;0.1;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.1
B36 Suolentukkeuma ja tyrä;0.4;0.6;0.3;0.4;0.5;0.3;0.4;0.4;0.4;0.4;0.4;0.5;0.2;0.3;0.4;0.2;0.2
B37 Maksankovettuma;0.7;1.1;1.0;1.0;1.2;1.4;1.5;1.5;1.8;1.4;1.3;1.7;1.6;1.2;1.5;1.5;1.6
B38 Munuaistulehdus ja rappiomunuaistauti;0.5;0.7;0.6;0.4;0.3;0.6;0.4;0.3;0.6;0.3;0.3;0.4;0.2;0.1;0.3;0.2;0.4
B39 Eturauhasen liikakasvu;0.1;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.2;0.1;0.0;0.1;0.1;0.1
B40 Keskenmeno;.;0.0;.;.;0.0;.;.;.;.;.;.;.;.;.;.;.;.
B41 Muut raskauden, synnytyksen ja lapsivuodeajan lisätaudit. Synnytys ilman mainintaa komplikaatiosta;.;0.0;0.0;0.0;.;0.0;.;.;0.0;.;.;.;0.0;.;.;.;0.0
B42 Synnynnäiset epämuodostumat;0.7;0.8;0.7;0.7;0.4;0.7;0.5;0.5;0.5;0.6;0.6;0.5;0.6;0.6;0.4;0.6;0.4
B43 Synnytysvauriot, vaikea synnytys ja muut hapettomuus- ja vähähappisuustilat;0.7;0.7;0.7;0.4;0.4;0.3;0.3;0.3;0.1;0.2;0.2;0.1;0.1;0.1;0.1;0.2;0.1
B44 Muita perinataalisen kuolleisuuden syitä;0.5;0.4;0.3;0.3;0.3;0.4;0.3;0.3;0.2;0.3;0.2;0.1;0.1;0.2;0.1;.;0.1
B45 Oireita ja epätäydellisesti määriteltyjä tapauksia;0.4;0.2;0.3;0.2;0.2;0.3;0.3;0.2;0.4;0.3;0.2;0.5;0.5;0.4;0.5;0.5;1.0
B46 Muut sairaudet;11.2;11.2;11.8;11.3;10.9;12.0;12.0;10.3;11.5;11.5;12.0;11.6;12.0;11.2;13.0;12.5;13.9
BN47 Tapaturmat yhteensä;6.5;6.1;6.6;6.4;6.4;6.6;5.9;.;.;.;.;.;.;.;.;.;.
BN48 Liikennetapaturmat;2.4;2.3;2.8;1.9;2.2;2.0;2.0;.;.;.;.;.;.;.;.;.;.
BN49 Myrkytystapaturmat;0.8;0.8;0.8;0.6;0.9;1.0;0.8;.;.;.;.;.;.;.;.;.;.
BN50 Hukkumistapaturmat;0.7;0.4;0.5;0.6;0.6;0.4;0.6;.;.;.;.;.;.;.;.;.;.
Itsemurhat;3.2;2.5;2.4;2.9;2.3;2.7;3.1;3.5;3.0;3.4;2.9;2.9;3.1;2.7;3.0;3.1;2.7
